Commodity,Market,Price
Pineapple MD 2,CROSS ROADS Hi-Lo,
Plantain Ripe,CROSS ROADS Hi-Lo,789.47
Plantain Green,CROSS ROADS Hi-Lo,789.47
Pumpkin Local,CROSS ROADS Hi-Lo,614.94
String Bean Local,CROSS ROADS Hi-Lo,1350.88
Sweet Pepper (Green) Local,CROSS ROADS Hi-Lo,1402.87
Sweet Pepper (Red) Local,CROSS ROADS Hi-Lo,
Sweet Pepper (Yellow) Local,CROSS ROADS Hi-Lo,
Sweet Potato Local,CROSS ROADS Hi-Lo,1433.99
Thyme Local,CROSS ROADS Hi-Lo,
Tomatoes(Plummy) Local,CROSS ROADS Hi-Lo,424.56
Tomatoes(Salad) Local,CROSS ROADS Hi-Lo,
Turmeric Local,CROSS ROADS Hi-Lo,1073.01
Watermelon Local,CROSS ROADS Hi-Lo,1170.14
Yam Yellow,CROSS ROADS Hi-Lo,1183.3
Yam Negro,CROSS ROADS Hi-Lo,
Broccoli Imported,WATERLOO ROAD Mega Mart,2800.0
Cabbage (Green) Local,WATERLOO ROAD Mega Mart,580.0
Cabbage (Red) Imported,WATERLOO ROAD Mega Mart,
Callaloo Shredded,WATERLOO ROAD Mega Mart,
Callaloo Whole,WATERLOO ROAD Mega Mart,480.0
Cantaloupe Local,WATERLOO ROAD Mega Mart,925.0
Carrot Local,WATERLOO ROAD Mega Mart,750.0
Cauliflower Local,WATERLOO ROAD Mega Mart,1150.0
Cauliflower Imported,WATERLOO ROAD Mega Mart,1980.0
Coco Local,WATERLOO ROAD Mega Mart,1020.0
Cucumber Local,WATERLOO ROAD Mega Mart,680.0
Dasheen Local,WATERLOO ROAD Mega Mart,1016.0
Escallion Local,WATERLOO ROAD Mega Mart,600.0
Ginger Local,WATERLOO ROAD Mega Mart,
Green Banana Local,WATERLOO ROAD Mega Mart,310.0
Gungo Peas Dry,WATERLOO ROAD Mega Mart,
Honeydew Melon Local,WATERLOO ROAD Mega Mart,890.0
Irish Potato Local,WATERLOO ROAD Mega Mart,1070.0
Lettuce Iceberg (Local),WATERLOO ROAD Mega Mart,1250.0
Lettuce Romaine (Local),WATERLOO ROAD Mega Mart,
Okra Local,WATERLOO ROAD Mega Mart,
Onion Local,WATERLOO ROAD Mega Mart,890.0
Onion Imported,WATERLOO ROAD Mega Mart,
Pak Choi Local,WATERLOO ROAD Mega Mart,960.0
Papaya Local,WATERLOO ROAD Mega Mart,620.0
Pepper (Hot) Scotch Bonnet,WATERLOO ROAD Mega Mart,
Pepper (Hot) West Indian Red,WATERLOO ROAD Mega Mart,
Pineapple Cow Boy,WATERLOO ROAD Mega Mart,660.0
Pineapple MD 2,WATERLOO ROAD Mega Mart,660.0
Plantain Ripe,WATERLOO ROAD Mega Mart,860.0
Plantain Green,WATERLOO ROAD Mega Mart,860.0
Pumpkin Local,WATERLOO ROAD Mega Mart,510.0
String Bean Local,WATERLOO ROAD Mega Mart,1080.0
Sweet Pepper (Green) Local,WATERLOO ROAD Mega Mart,850.0
Sweet Pepper (Red) Local,WATERLOO ROAD Mega Mart,950.0
Sweet Pepper (Yellow) Local,WATERLOO ROAD Mega Mart,950.0
Sweet Potato Local,WATERLOO ROAD Mega Mart,930.0
Thyme Local,WATERLOO ROAD Mega Mart,1990.0
Tomatoes(Plummy) Local,WATERLOO ROAD Mega Mart,
Tomatoes(Salad) Local,WATERLOO ROAD Mega Mart,
Turmeric Local,WATERLOO ROAD Mega Mart,950.0
Watermelon Local,WATERLOO ROAD Mega Mart,850.0
Yam Yellow,WATERLOO ROAD Mega Mart,
Yam Negro,WATERLOO ROAD Mega Mart,
Broccoli Imported,NEW KINGSTON John R Wong,1881.7
Cabbage (Green) Local,NEW KINGSTON John R Wong,498.5
Cabbage (Red) Imported,NEW KINGSTON John R Wong,592.9
Callaloo Shredded,NEW KINGSTON John R Wong,
Callaloo Whole,NEW KINGSTON John R Wong,498.5
Cantaloupe Local,NEW KINGSTON John R Wong,1163.15
Carrot Local,NEW KINGSTON John R Wong,997.0
Cauliflower Local,NEW KINGSTON John R Wong,1163.1
Cauliflower Imported,NEW KINGSTON John R Wong,
Coco Local,NEW KINGSTON John R Wong,1163.15
Cucumber Local,NEW KINGSTON John R Wong,734.32
Dasheen Local,NEW KINGSTON John R Wong,997.05
Escallion Local,NEW KINGSTON John R Wong,664.65
Ginger Local,NEW KINGSTON John R Wong,1495.37
Green Banana Local,NEW KINGSTON John R Wong,498.55
Gungo Peas Dry,NEW KINGSTON John R Wong,1190.9
Honeydew Melon Local,NEW KINGSTON John R Wong,1163.1
Irish Potato Local,NEW KINGSTON John R Wong,
Lettuce Iceberg (Local),NEW KINGSTON John R Wong,1163.2
Lettuce Romaine (Local),NEW KINGSTON John R Wong,
Okra Local,NEW KINGSTON John R Wong,830.8
Onion Local,NEW KINGSTON John R Wong,787.85
Onion Imported,NEW KINGSTON John R Wong,
Pak Choi Local,NEW KINGSTON John R Wong,664.7
Papaya Local,NEW KINGSTON John R Wong,664.65
Pepper (Hot) Scotch Bonnet,NEW KINGSTON John R Wong,
Pepper (Hot) West Indian Red,NEW KINGSTON John R Wong,
Pineapple Cow Boy,NEW KINGSTON John R Wong,
Pineapple MD 2,NEW KINGSTON John R Wong,
Plantain Ripe,NEW KINGSTON John R Wong,664.65
Plantain Green,NEW KINGSTON John R Wong,664.65
Pumpkin Local,NEW KINGSTON John R Wong,432.0
String Bean Local,NEW KINGSTON John R Wong,1495.6
Sweet Pepper (Green) Local,NEW KINGSTON John R Wong,989.05
Sweet Pepper (Red) Local,NEW KINGSTON John R Wong,1661.65
Sweet Pepper (Yellow) Local,NEW KINGSTON John R Wong,1661.65
Sweet Potato Local,NEW KINGSTON John R Wong,1163.15
Thyme Local,NEW KINGSTON John R Wong,2508.1
Tomatoes(Plummy) Local,NEW KINGSTON John R Wong,
Tomatoes(Salad) Local,NEW KINGSTON John R Wong,
Turmeric Local,NEW KINGSTON John R Wong,906.3
Watermelon Local,NEW KINGSTON John R Wong,907.0
Yam Yellow,NEW KINGSTON John R Wong,
Yam Negro,NEW KINGSTON John R Wong,
Broccoli Imported,HALF-WAY TREE Brooklyn,1604.19
Cabbage (Green) Local,HALF-WAY TREE Brooklyn,316.8
Cabbage (Red) Imported,HALF-WAY TREE Brooklyn,1027.52
Callaloo Shredded,HALF-WAY TREE Brooklyn,598.4
Callaloo Whole,HALF-WAY TREE Brooklyn,288.0
Cantaloupe Local,HALF-WAY TREE Brooklyn,852.45
Carrot Local,HALF-WAY TREE Brooklyn,681.96
Cauliflower Local,HALF-WAY TREE Brooklyn,1056.0
Cauliflower Imported,HALF-WAY TREE Brooklyn,
Coco Local,HALF-WAY TREE Brooklyn,
Cucumber Local,HALF-WAY TREE Brooklyn,511.47
Dasheen Local,HALF-WAY TREE Brooklyn,
Escallion Local,HALF-WAY TREE Brooklyn,681.96
Ginger Local,HALF-WAY TREE Brooklyn,1363.92
Green Banana Local,HALF-WAY TREE Brooklyn,257.73
Gungo Peas Dry,HALF-WAY TREE Brooklyn,1363.92
Honeydew Melon Local,HALF-WAY TREE Brooklyn,
Irish Potato Local,HALF-WAY TREE Brooklyn,801.3
Lettuce Iceberg (Local),HALF-WAY TREE Brooklyn,1408.0
Lettuce Romaine (Local),HALF-WAY TREE Brooklyn,
Okra Local,HALF-WAY TREE Brooklyn,1022.94
Onion Local,HALF-WAY TREE Brooklyn,1193.43
Onion Imported,HALF-WAY TREE Brooklyn,
Pak Choi Local,HALF-WAY TREE Brooklyn,528.0
Papaya Local,HALF-WAY TREE Brooklyn,852.45
Pepper (Hot) Scotch Bonnet,HALF-WAY TREE Brooklyn,2324.86
Pepper (Hot) West Indian Red,HALF-WAY TREE Brooklyn,
Pineapple Cow Boy,HALF-WAY TREE Brooklyn,
Pineapple MD 2,HALF-WAY TREE Brooklyn,
Plantain Ripe,HALF-WAY TREE Brooklyn,511.47
Plantain Green,HALF-WAY TREE Brooklyn,511.47
Pumpkin Local,HALF-WAY TREE Brooklyn,579.67
String Bean Local,HALF-WAY TREE Brooklyn,
Sweet Pepper (Green) Local,HALF-WAY TREE Brooklyn,852.45
Sweet Pepper (Red) Local,HALF-WAY TREE Brooklyn,1860.0
Sweet Pepper (Yellow) Local,HALF-WAY TREE Brooklyn,1860.0
Sweet Potato Local,HALF-WAY TREE Brooklyn,1022.94
Thyme Local,HALF-WAY TREE Brooklyn,2727.84
Tomatoes(Plummy) Local,HALF-WAY TREE Brooklyn,341.0
Tomatoes(Salad) Local,HALF-WAY TREE Brooklyn,511.47
Turmeric Local,HALF-WAY TREE Brooklyn,1193.43
Watermelon Local,HALF-WAY TREE Brooklyn,
Yam Yellow,HALF-WAY TREE Brooklyn,750.15
Yam Negro,HALF-WAY TREE Brooklyn,
Broccoli Imported,WASHINGTON BOULEVARD Shopper's Fair,1649.06
Cabbage (Green) Local,WASHINGTON BOULEVARD Shopper's Fair,329.98
Cabbage (Red) Imported,WASHINGTON BOULEVARD Shopper's Fair,520.69
Callaloo Shredded,WASHINGTON BOULEVARD Shopper's Fair,660.06
Callaloo Whole,WASHINGTON BOULEVARD Shopper's Fair,495.05
Cantaloupe Local,WASHINGTON BOULEVARD Shopper's Fair,825.08
Carrot Local,WASHINGTON BOULEVARD Shopper's Fair,858.09
Cauliflower Local,WASHINGTON BOULEVARD Shopper's Fair,792.08
Cauliflower Imported,WASHINGTON BOULEVARD Shopper's Fair,
Coco Local,WASHINGTON BOULEVARD Shopper's Fair,495.05
Cucumber Local,WASHINGTON BOULEVARD Shopper's Fair,660.07
Dasheen Local,WASHINGTON BOULEVARD Shopper's Fair,990.1
Escallion Local,WASHINGTON BOULEVARD Shopper's Fair,594.06
Ginger Local,WASHINGTON BOULEVARD Shopper's Fair,1485.15
Green Banana Local,WASHINGTON BOULEVARD Shopper's Fair,371.8
Gungo Peas Dry,WASHINGTON BOULEVARD Shopper's Fair,1319.13
Honeydew Melon Local,WASHINGTON BOULEVARD Shopper's Fair,989.95
Irish Potato Local,WASHINGTON BOULEVARD Shopper's Fair,825.08
Lettuce Iceberg (Local),WASHINGTON BOULEVARD Shopper's Fair,989.95
Lettuce Romaine (Local),WASHINGTON BOULEVARD Shopper's Fair,1199.94
Okra Local,WASHINGTON BOULEVARD Shopper's Fair,726.07
Onion Local,WASHINGTON BOULEVARD Shopper's Fair,787.58
Onion Imported,WASHINGTON BOULEVARD Shopper's Fair,
Pak Choi Local,WASHINGTON BOULEVARD Shopper's Fair,561.06
Papaya Local,WASHINGTON BOULEVARD Shopper's Fair,660.07
Pepper (Hot) Scotch Bonnet,WASHINGTON BOULEVARD Shopper's Fair,
Pepper (Hot) West Indian Red,WASHINGTON BOULEVARD Shopper's Fair,1320.13
Pineapple Cow Boy,WASHINGTON BOULEVARD Shopper's Fair,704.96
Pineapple MD 2,WASHINGTON BOULEVARD Shopper's Fair,
Plantain Ripe,WASHINGTON BOULEVARD Shopper's Fair,750.06
Plantain Green,WASHINGTON BOULEVARD Shopper's Fair,750.06
Pumpkin Local,WASHINGTON BOULEVARD Shopper's Fair,560.97
String Bean Local,WASHINGTON BOULEVARD Shopper's Fair,990.1
Sweet Pepper (Green) Local,WASHINGTON BOULEVARD Shopper's Fair,759.08
Sweet Pepper (Red) Local,WASHINGTON BOULEVARD Shopper's Fair,1800.18
Sweet Pepper (Yellow) Local,WASHINGTON BOULEVARD Shopper's Fair,1800.18
Sweet Potato Local,WASHINGTON BOULEVARD Shopper's Fair,910.0
Thyme Local,WASHINGTON BOULEVARD Shopper's Fair,2029.7
Tomatoes(Plummy) Local,WASHINGTON BOULEVARD Shopper's Fair,363.04
Tomatoes(Salad) Local,WASHINGTON BOULEVARD Shopper's Fair,363.04
Turmeric Local,WASHINGTON BOULEVARD Shopper's Fair,899.96
Watermelon Local,WASHINGTON BOULEVARD Shopper's Fair,857.96
Yam Yellow,WASHINGTON BOULEVARD Shopper's Fair,975.1
Yam Negro,WASHINGTON BOULEVARD Shopper's Fair,1353.14
Broccoli Imported,DUHANEY PARK Shopper's Fair,1775.8
Cabbage (Green) Local,DUHANEY PARK Shopper's Fair,330.0
Cabbage (Red) Imported,DUHANEY PARK Shopper's Fair,556.6
Callaloo Shredded,DUHANEY PARK Shopper's Fair,659.98
Callaloo Whole,DUHANEY PARK Shopper's Fair,
Cantaloupe Local,DUHANEY PARK Shopper's Fair,825.0
Carrot Local,DUHANEY PARK Shopper's Fair,858.0
Cauliflower Local,DUHANEY PARK Shopper's Fair,990.0
Cauliflower Imported,DUHANEY PARK Shopper's Fair,1539.5
Coco Local,DUHANEY PARK Shopper's Fair,1154.94
Cucumber Local,DUHANEY PARK Shopper's Fair,660.0
Dasheen Local,DUHANEY PARK Shopper's Fair,989.95
Escallion Local,DUHANEY PARK Shopper's Fair,594.0
Ginger Local,DUHANEY PARK Shopper's Fair,
Green Banana Local,DUHANEY PARK Shopper's Fair,428.98
Gungo Peas Dry,DUHANEY PARK Shopper's Fair,1319.9
Honeydew Melon Local,DUHANEY PARK Shopper's Fair,
Irish Potato Local,DUHANEY PARK Shopper's Fair,824.96
Lettuce Iceberg (Local),DUHANEY PARK Shopper's Fair,990.0
Lettuce Romaine (Local),DUHANEY PARK Shopper's Fair,990.0
Okra Local,DUHANEY PARK Shopper's Fair,742.5
Onion Local,DUHANEY PARK Shopper's Fair,869.96
Onion Imported,DUHANEY PARK Shopper's Fair,
Pak Choi Local,DUHANEY PARK Shopper's Fair,660.0
Papaya Local,DUHANEY PARK Shopper's Fair,599.97
Pepper (Hot) Scotch Bonnet,DUHANEY PARK Shopper's Fair,2144.9
Pepper (Hot) West Indian Red,DUHANEY PARK Shopper's Fair,1484.9
Pineapple Cow Boy,DUHANEY PARK Shopper's Fair,
Pineapple MD 2,DUHANEY PARK Shopper's Fair,704.96
Plantain Ripe,DUHANEY PARK Shopper's Fair,749.96
Plantain Green,DUHANEY PARK Shopper's Fair,749.96
Pumpkin Local,DUHANEY PARK Shopper's Fair,561.0
String Bean Local,DUHANEY PARK Shopper's Fair,990.0
Sweet Pepper (Green) Local,DUHANEY PARK Shopper's Fair,759.0
Sweet Pepper (Red) Local,DUHANEY PARK Shopper's Fair,1649.9
Sweet Pepper (Yellow) Local,DUHANEY PARK Shopper's Fair,1649.9
Sweet Potato Local,DUHANEY PARK Shopper's Fair,1055.95
Thyme Local,DUHANEY PARK Shopper's Fair,2639.9
Tomatoes(Plummy) Local,DUHANEY PARK Shopper's Fair,363.0
Tomatoes(Salad) Local,DUHANEY PARK Shopper's Fair,
Turmeric Local,DUHANEY PARK Shopper's Fair,900.0
Watermelon Local,DUHANEY PARK Shopper's Fair,990.0
Yam Yellow,DUHANEY PARK Shopper's Fair,989.95
Yam Negro,DUHANEY PARK Shopper's Fair,
Broccoli Imported,LIGUANEA General Foods,3060.0
Cabbage (Green) Local,LIGUANEA General Foods,561.0
Cabbage (Red) Imported,LIGUANEA General Foods,
Callaloo Shredded,LIGUANEA General Foods,
Callaloo Whole,LIGUANEA General Foods,429.0
Cantaloupe Local,LIGUANEA General Foods,
Carrot Local,LIGUANEA General Foods,935.0
Cauliflower Local,LIGUANEA General Foods,1496.0
Cauliflower Imported,LIGUANEA General Foods,
Coco Local,LIGUANEA General Foods,
Cucumber Local,LIGUANEA General Foods,935.0
Dasheen Local,LIGUANEA General Foods,
Escallion Local,LIGUANEA General Foods,1496.0
Ginger Local,LIGUANEA General Foods,1496.0
Green Banana Local,LIGUANEA General Foods,285.0
Gungo Peas Dry,LIGUANEA General Foods,
Honeydew Melon Local,LIGUANEA General Foods,
Irish Potato Local,LIGUANEA General Foods,935.0
Lettuce Iceberg (Local),LIGUANEA General Foods,
Lettuce Romaine (Local),LIGUANEA General Foods,1309.0
Okra Local,LIGUANEA General Foods,748.0
Onion Local,LIGUANEA General Foods,760.0
Onion Imported,LIGUANEA General Foods,
Pak Choi Local,LIGUANEA General Foods,561.0
Papaya Local,LIGUANEA General Foods,748.0
Pepper (Hot) Scotch Bonnet,LIGUANEA General Foods,
Pepper (Hot) West Indian Red,LIGUANEA General Foods,
Pineapple Cow Boy,LIGUANEA General Foods,748.0
Pineapple MD 2,LIGUANEA General Foods,
Plantain Ripe,LIGUANEA General Foods,594.0
Plantain Green,LIGUANEA General Foods,594.0
Pumpkin Local,LIGUANEA General Foods,561.0
String Bean Local,LIGUANEA General Foods,1683.0
Sweet Pepper (Green) Local,LIGUANEA General Foods,1683.0
Sweet Pepper (Red) Local,LIGUANEA General Foods,
Sweet Pepper (Yellow) Local,LIGUANEA General Foods,1683.0
Sweet Potato Local,LIGUANEA General Foods,1232.0
Thyme Local,LIGUANEA General Foods,4080.0
Tomatoes(Plummy) Local,LIGUANEA General Foods,374.0
Tomatoes(Salad) Local,LIGUANEA General Foods,748.0
Turmeric Local,LIGUANEA General Foods,935.0
Watermelon Local,LIGUANEA General Foods,1122.0
Yam Yellow,LIGUANEA General Foods,1122.0
Yam Negro,LIGUANEA General Foods,
Broccoli Imported,LIGUANEA Shopper's Fair,
Cabbage (Green) Local,LIGUANEA Shopper's Fair,
Cabbage (Red) Imported,LIGUANEA Shopper's Fair,639.5
Callaloo Shredded,LIGUANEA Shopper's Fair,
Callaloo Whole,LIGUANEA Shopper's Fair,510.1
Cantaloupe Local,LIGUANEA Shopper's Fair,825.1
Carrot Local,LIGUANEA Shopper's Fair,729.1
Cauliflower Local,LIGUANEA Shopper's Fair,825.1
Cauliflower Imported,LIGUANEA Shopper's Fair,
Coco Local,LIGUANEA Shopper's Fair,1155.12
Cucumber Local,LIGUANEA Shopper's Fair,660.1
Dasheen Local,LIGUANEA Shopper's Fair,
Escallion Local,LIGUANEA Shopper's Fair,594.1
Ginger Local,LIGUANEA Shopper's Fair,1485.2
Green Banana Local,LIGUANEA Shopper's Fair,
Gungo Peas Dry,LIGUANEA Shopper's Fair,1320.1
Honeydew Melon Local,LIGUANEA Shopper's Fair,990.1
Irish Potato Local,LIGUANEA Shopper's Fair,
